iter	Passed	Remaining
468	706	800
469	707	798
470	708	796
471	710	794
472	711	792
473	712	790
474	713	788
475	714	786
476	715	784
477	716	782
478	717	780
479	718	778
480	720	776
481	721	775
482	722	773
483	723	771
484	724	769
485	725	767
486	727	765
487	728	763
488	729	762
489	730	760
490	731	758
491	732	756
492	733	754
493	734	752
494	736	750
495	737	749
496	738	747
497	739	745
498	740	743
499	741	741
500	742	739
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	727
508	751	725
509	753	723
510	754	721
511	755	720
512	756	718
513	757	716
514	758	714
515	759	712
516	760	710
517	761	709
518	763	707
519	764	705
520	765	703
521	766	701
522	767	700
523	768	698
524	769	696
525	770	694
526	772	692
527	773	691
528	774	689
529	775	687
530	776	686
531	777	684
532	778	682
533	780	680
534	781	679
535	782	677
536	783	675
537	784	673
538	785	672
539	786	670
540	788	668
541	789	666
542	790	665
543	791	663
544	792	661
545	793	659
546	794	658
547	795	656
548	796	654
549	798	652
550	799	651
551	800	649
552	801	647
553	802	646
554	803	644
555	804	642
556	805	640
557	807	639
558	808	637
559	808	635
560	810	633
561	811	632
562	812	630
563	813	628
564	814	627
565	815	625
566	817	623
567	818	622
568	819	620
569	820	619
570	821	617
571	822	615
572	823	613
573	824	612
574	826	610
575	827	608
576	828	607
577	829	605
578	830	603
579	831	602
580	832	600
581	833	598
582	834	597
583	835	595
584	837	593
585	838	592
586	839	590
587	840	588
588	841	587
589	842	585
590	843	583
591	844	582
592	845	580
593	847	578
594	848	577
595	849	575
596	850	574
597	851	572
598	852	570
599	853	569
600	854	567
601	856	566
602	857	564
603	858	562
604	859	561
605	860	559
606	861	557
607	862	556
608	863	554
609	864	552
610	866	551
611	867	549
612	868	548
613	869	546
614	870	544
615	871	543
616	872	541
617	874	540
618	875	538
619	876	537
620	877	535
621	878	534
622	879	532
623	881	530
624	882	529
625	883	528
626	884	526
627	886	524
628	887	523
629	888	522
630	889	520
631	891	518
632	892	517
633	893	515
634	895	514
635	896	513
636	897	511
637	898	510
638	900	508
639	901	507
640	902	505
641	903	504
642	905	502
643	906	501
644	907	499
645	908	498
646	910	496
647	911	495
648	912	493
649	914	492
650	915	490
651	916	489
652	917	487
653	918	486
654	920	484
655	921	483
656	922	481
657	924	480
658	925	478
659	926	477
660	927	475
661	929	474
662	930	472
663	931	471
664	932	469
665	934	468
666	935	466
667	936	465
668	937	464
669	939	462
670	940	461
671	941	459
672	943	458
673	945	457
674	946	455
675	947	454
676	949	452
677	950	451
678	951	449
679	952	448
680	953	446
681	955	445
682	956	443
683	957	442
684	958	440
685	959	439
686	961	437
687	962	436
688	963	434
689	964	433
690	966	431
691	967	430
692	968	429
693	969	427
694	971	426
695	972	424
696	973	423
697	975	421
698	976	420
699	977	418
700	978	417
701	980	416
702	981	414
703	982	413
704	983	411
705	985	410
706	986	408
707	987	407
708	988	405
709	989	404
710	991	402
711	992	401
712	993	400
713	995	398
714	996	397
715	997	395
716	998	394
717	1000	392
718	1001	391
719	1002	389
720	1003	388
721	1005	386
722	1006	385
723	1007	384
724	1008	382
725	1009	381
726	1011	379
727	1012	378
728	1013	376
729	1014	375
730	1015	373
731	1017	372
732	1018	371
733	1019	369
734	1021	368
735	1022	366
736	1023	365
737	1024	363
738	1025	362
739	1026	360
740	1028	359
741	1029	357
742	1030	356
743	1031	354
744	1032	353
745	1033	351
746	1034	350
747	1035	348
748	1036	347
749	1037	345
750	1039	344
751	1040	343
752	1041	341
753	1042	340
754	1043	338
755	1044	337
756	1045	335
757	1046	334
758	1047	332
759	1048	331
760	1050	329
761	1051	328
762	1052	326
763	1053	325
764	1054	324
765	1056	322
766	1057	321
767	1058	319
768	1059	318
769	1060	316
770	1061	315
771	1062	313
772	1063	312
773	1065	310
774	1066	309
775	1067	308
776	1068	306
777	1070	305
778	1071	303
779	1072	302
780	1074	301
781	1075	299
782	1076	298
783	1078	297
784	1079	295
785	1081	294
786	1082	292
787	1083	291
788	1084	290
789	1086	288
790	1087	287
791	1088	285
792	1089	284
793	1090	283
794	1092	281
795	1093	280
796	1095	278
797	1096	277
798	1097	276
799	1098	274
800	1100	273
801	1101	271
802	1102	270
803	1103	269
804	1105	267
805	1106	266
806	1107	264
807	1108	263
808	1109	262
809	1111	260
810	1112	259
811	1113	257
812	1114	256
813	1116	255
814	1117	253
815	1118	252
816	1120	250
817	1121	249
818	1122	248
819	1123	246
820	1125	245
821	1126	243
822	1127	242
823	1128	241
824	1130	239
825	1131	238
826	1132	236
827	1133	235
828	1134	234
829	1135	232
830	1137	231
831	1138	229
832	1139	228
833	1140	227
834	1142	225
835	1143	224
836	1144	222
837	1145	221
838	1146	220
839	1148	218
840	1149	217
841	1150	215
842	1151	214
843	1152	213
844	1154	211
845	1155	210
846	1156	208
847	1158	207
848	1159	206
849	1160	204
850	1161	203
851	1163	202
852	1164	200
853	1165	199
854	1166	197
855	1168	196
856	1169	195
857	1170	193
858	1171	192
859	1172	190
860	1173	189
861	1175	188
862	1176	186
863	1177	185
864	1178	183
865	1179	182
866	1180	181
867	1182	179
868	1183	178
869	1184	177
870	1185	175
871	1186	174
872	1188	172
873	1189	171
874	1190	170
875	1191	168
876	1192	167
877	1194	165
878	1195	164
879	1196	163
880	1197	161
881	1198	160
882	1200	159
883	1201	157
884	1202	156
885	1203	154
