iter	RMSE
310	4.334054376
311	4.33100289
312	4.326597606
313	4.322255272
314	4.320301523
315	4.315117172
316	4.312500234
317	4.310818928
318	4.30511675
319	4.300738469
320	4.294683071
321	4.289133838
322	4.284087485
323	4.277569891
324	4.276995125
325	4.274233617
326	4.268787678
327	4.266903369
328	4.265157473
329	4.2628427
330	4.260781449
331	4.260308286
332	4.255899726
333	4.251614408
334	4.246401814
335	4.242759303
336	4.238114521
337	4.232392777
338	4.230883936
339	4.226093357
340	4.223717241
341	4.219097454
342	4.213397534
343	4.212617306
344	4.209699674
345	4.205774252
346	4.203141349
347	4.200637044
348	4.195760981
349	4.192286431
350	4.188344258
351	4.186017326
352	4.181517508
353	4.175558511
354	4.173245887
355	4.169935538
356	4.162965572
357	4.158932897
358	4.156677779
359	4.151568825
360	4.14828867
361	4.142332996
362	4.141811514
363	4.13704848
364	4.135416192
365	4.13309733
366	4.12730286
367	4.126906697
368	4.124600336
369	4.122144078
370	4.117796091
371	4.115922216
372	4.113148667
373	4.111348288
374	4.108018576
375	4.106343627
376	4.104228227
377	4.101204098
378	4.096070233
379	4.092439688
380	4.08769882
381	4.084915072
382	4.083243227
383	4.082283647
384	4.078397165
385	4.07664853
386	4.073962616
387	4.07129949
388	4.068620482
389	4.068016701
390	4.066936818
391	4.065721739
392	4.061702808
393	4.057906849
394	4.054688515
395	4.050531857
396	4.047773367
397	4.046193992
398	4.043984838
399	4.039620805
400	4.036406534
401	4.030474465
402	4.027940823
403	4.025815843
404	4.022559929
405	4.017497974
406	4.012281908
407	4.011919098
408	4.00769263
409	4.003610565
410	4.003260799
411	4.001615221
412	4.00118819
413	3.999016551
414	3.997410692
415	3.997013882
416	3.992047384
417	3.991691184
418	3.991144946
419	3.989446993
420	3.984697337
421	3.981484716
422	3.98092906
423	3.978002888
424	3.972522157
425	3.968175707
426	3.964638267
427	3.959113239
428	3.956301079
429	3.951735599
430	3.949360237
431	3.948845171
432	3.945150113
433	3.940795938
434	3.937782178
435	3.935302132
436	3.933564264
437	3.929929143
438	3.92684206
439	3.924140691
440	3.922569095
441	3.919715616
442	3.915870835
443	3.913466125
444	3.911518129
445	3.906833415
446	3.903464587
447	3.89998768
448	3.897130504
449	3.892672357
450	3.892353694
451	3.886820994
452	3.882457628
453	3.876733809
454	3.875744528
455	3.871777664
456	3.870751586
457	3.870467995
458	3.866246607
459	3.862081039
460	3.860537868
461	3.856528795
462	3.851460647
463	3.847184996
464	3.844344087
465	3.840224151
466	3.836759053
467	3.833480011
468	3.832230671
469	3.8303491
470	3.828639496
471	3.825712575
472	3.824847825
473	3.82345633
474	3.819577598
475	3.816858144
476	3.813561792
477	3.811478761
478	3.809275237
479	3.808757924
480	3.806083529
481	3.801874767
482	3.799716986
483	3.797363615
484	3.793679611
485	3.790726741
486	3.788445801
487	3.785860125
488	3.782338607
489	3.782005087
490	3.779443946
491	3.77421305
492	3.77374056
493	3.771766501
494	3.768809583
495	3.765793101
496	3.765338069
497	3.761901179
498	3.758950362
499	3.758416494
500	3.756159159
501	3.752261033
502	3.751121595
503	3.746688217
504	3.745317515
505	3.743035897
506	3.741349081
507	3.738519852
508	3.734379872
509	3.732503554
510	3.730324691
511	3.729864466
512	3.727232761
513	3.725607374
514	3.720767842
515	3.716705003
516	3.712837699
517	3.710001136
518	3.706600615
519	3.704584146
520	3.699426201
521	3.699141728
522	3.695319024
523	3.691269848
524	3.689288049
525	3.68678414
526	3.683781297
527	3.68228423
528	3.679210414
529	3.67654077
530	3.673293578
531	3.67259956
532	3.670644212
533	3.668321949
534	3.666058376
535	3.6618164
536	3.660875839
537	3.658844566
538	3.654612161
539	3.652441073
540	3.649202576
541	3.646623025
542	3.642584438
543	3.641262094
544	3.637632425
545	3.635120254
546	3.633590454
547	3.631039995
548	3.626921727
549	3.624073189
550	3.62172397
551	3.61979254
552	3.616857827
553	3.614257841
554	3.612339134
555	3.609210718
556	3.607088122
557	3.604606444
558	3.599949789
559	3.599734529
560	3.598447839
561	3.598166
562	3.594926738
563	3.593202702
564	3.588333399
565	3.583693078
566	3.580144183
567	3.57810981
568	3.573364926
569	3.570884765
570	3.568440355
571	3.562635725
572	3.560574138
573	3.556210675
574	3.555578747
575	3.552166224
576	3.549517743
577	3.545674222
578	3.544005577
579	3.542556749
580	3.538144233
581	3.537131811
582	3.535243285
583	3.531899619
584	3.528903766
585	3.526164183
586	3.52231308
587	3.520640112
588	3.516975876
589	3.514168128
590	3.512198457
591	3.511879366
592	3.509621999
593	3.507161245
594	3.506802934
595	3.50406701
596	3.50150341
597	3.497578794
598	3.496476808
599	3.492953366
600	3.48945722
601	3.484771994
602	3.484221705
603	3.483705856
604	3.480857597
605	3.478399584
606	3.475037358
607	3.473153122
608	3.472448427
609	3.469589353
610	3.467871361
611	3.46676863
612	3.463532385
613	3.45873382
614	3.454874061
615	3.453120127
616	3.450004475
617	3.446569614
618	3.443410178
619	3.440995213
620	3.438661974
621	3.436757265
622	3.43462584
623	3.431315812
624	3.428773087
625	3.428505795
626	3.428287006
627	3.426557079
628	3.422607192
629	3.421034952
630	3.420423773
631	3.418759748
632	3.416115046
633	3.413643753
634	3.409395654
635	3.40572601
636	3.405201894
637	3.405017422
638	3.402358692
639	3.3994548
640	3.395330861
641	3.391590233
642	3.387067707
643	3.384787138
644	3.381791353
645	3.379427974
646	3.375709379
647	3.374228504
648	3.372637413
649	3.371029097
650	3.369643417
651	3.366295346
652	3.364138991
653	3.36224355
654	3.360813357
655	3.357987527
656	3.354805803
657	3.352745344
658	3.350736639
659	3.346837215
660	3.343824841
661	3.342497585
662	3.341554571
663	3.341374238
664	3.339214949
665	3.335729052
666	3.334192201
667	3.332791905
668	3.329626084
669	3.326998511
670	3.3253293
671	3.322035781
672	3.317194304
673	3.314728953
674	3.313077598
675	3.309189135
676	3.308177236
677	3.305195253
678	3.304674347
679	3.301546575
680	3.300538931
681	3.297961593
682	3.296424811
683	3.294501518
684	3.290554704
685	3.289008806
686	3.285619144
687	3.284116457
688	3.281495198
689	3.280080512
690	3.27965293
691	3.276274737
692	3.27433663
693	3.273949665
694	3.271929057
695	3.271389126
696	3.268925717
697	3.268156052
698	3.265614808
699	3.265404339
700	3.263781149
701	3.263429082
702	3.25927801
703	3.259043309
704	3.256203837
705	3.255431569
706	3.252104502
707	3.249551027
708	3.247143653
709	3.245455339
710	3.243137963
711	3.240494184
712	3.238145332
713	3.236432678
714	3.234042274
715	3.233806811
716	3.230683452
717	3.228072107
718	3.226249203
719	3.223032536
720	3.222773425
721	3.218243839
722	3.215242074
723	3.211960114
724	3.21011867
725	3.207148195
726	3.206834865
727	3.205628727
728	3.205378371
729	3.203332899
730	3.200535664
731	3.198830618
732	3.198563632
733	3.196195681
734	3.194398164
735	3.192016188
736	3.189407303
737	3.189211721
738	3.188826297
739	3.186938203
740	3.183031922
741	3.18240698
742	3.180385893
743	3.177886046
744	3.175172418
745	3.174252152
746	3.173321124
747	3.171347862
748	3.171117047
749	3.169565538
750	3.168414758
751	3.166894935
752	3.165654635
753	3.161841526
754	3.159950738
755	3.157573819
756	3.155820865
757	3.154232866
758	3.15159581
759	3.150108114
760	3.147091528
761	3.145701751
762	3.144690519
763	3.141584566
764	3.139063277
765	3.136891268
766	3.136140537
767	3.135920896
768	3.13570762
769	3.135510052
770	3.132897601
771	3.130451726
772	3.12873091
773	3.126886805
774	3.126743536
775	3.12421683
776	3.122653084
777	3.120980741
778	3.119659087
779	3.118763601
780	3.116700757
781	3.116556409
782	3.114940041
783	3.11376533
784	3.112339653
785	3.111513041
786	3.107876845
787	3.106736841
788	3.103914843
789	3.101951509
790	3.098513645
791	3.097220956
792	3.096195128
793	3.094733202
794	3.0929717
795	3.092346047
796	3.090519479
797	3.08568211
798	3.084537844
799	3.083057848
800	3.07988261
801	3.077084094
802	3.076529355
803	3.075004603
804	3.070827186
805	3.06935878
806	3.066689771
807	3.064255176
808	3.062370322
809	3.059026531
810	3.057664077
811	3.05705626
812	3.053947911
813	3.051708638
814	3.050415677
815	3.050275713
816	3.049987447
817	3.046396844
818	3.045284672
819	3.0435754
820	3.040414863
821	3.038751575
822	3.037531171
823	3.035790129
824	3.034481365
825	3.03190091
826	3.029991017
827	3.027335744
828	3.024932455
829	3.023169232
830	3.020743883
831	3.019558955
832	3.016970128
833	3.0145668
834	3.014213386
835	3.010542152
836	3.009288751
837	3.007238007
838	3.007089691
839	3.005183172
840	3.003979537
841	3.000071102
842	2.999172781
843	2.996351478
844	2.993762936
845	2.993487772
846	2.991990571
847	2.991074938
848	2.987232061
849	2.985835715
850	2.984800679
851	2.982528389
852	2.980552136
853	2.97938182
854	2.977841543
855	2.975969254
856	2.974306824
857	2.971946928
858	2.9707539
859	2.968143442
860	2.967668601
861	2.965091402
862	2.964986977
863	2.963557969
864	2.962441224
865	2.961589947
866	2.959707013
867	2.958969328
868	2.957932849
869	2.954951888
870	2.953318185
871	2.951464805
872	2.951332993
873	2.949895721
874	2.94827518
875	2.947029375
876	2.945482661
877	2.94526507
878	2.944276291
879	2.9426476
880	2.940591057
881	2.939772262
882	2.93688641
883	2.936111688
884	2.934050206
885	2.931044492
886	2.930592941
887	2.929441304
888	2.926042684
889	2.923506145
890	2.922276229
891	2.91986451
892	2.918394825
893	2.916952484
894	2.915442458
895	2.912724412
896	2.912647495
897	2.911508174
898	2.908327585
899	2.907070333
900	2.906028299
901	2.905520495
902	2.904200075
903	2.902656935
904	2.89995643
905	2.899592379
906	2.898038654
907	2.896544061
908	2.895718975
909	2.892168779
910	2.889791908
911	2.888362778
912	2.887293223
913	2.8854562
914	2.885266281
915	2.882668371
916	2.881078421
917	2.880286763
918	2.878583299
919	2.8771767
920	2.874843638
921	2.873155385
922	2.871931966
923	2.870092567
924	2.868823083
925	2.868688708
926	2.868339045
927	2.868177312
928	2.864901558
929	2.864642624
930	2.864557683
931	2.862586015
932	2.862353782
933	2.860185508
934	2.859939841
935	2.859205485
936	2.859048839
937	2.857314356
938	2.856695129
939	2.854014229
940	2.85240089
941	2.850916735
942	2.848405559
943	2.847003897
944	2.84634083
945	2.843625912
946	2.841651233
947	2.839657464
948	2.839514363
949	2.839106233
950	2.838394477
951	2.838280237
952	2.837840292
953	2.835411129
954	2.834499345
955	2.834403294
956	2.832336131
957	2.82943042
958	2.828255874
959	2.826535674
960	2.826335582
961	2.823821582
962	2.822906903
963	2.820716502
964	2.819668332
965	2.817906102
966	2.817256574
967	2.816108985
968	2.815149908
969	2.814380092
970	2.812045634
971	2.811346633
972	2.810230091
973	2.807553845
974	2.807508362
975	2.806419958
976	2.806340232
977	2.804615209
978	2.803830931
979	2.801066815
980	2.799851234
981	2.799153297
982	2.795246162
983	2.793706043
984	2.792641339
985	2.789897994
986	2.788223515
987	2.786155424
988	2.783853022
989	2.782947787
990	2.781812078
991	2.781646878
992	2.780282901
993	2.780201163
994	2.778777472
995	2.778684096
996	2.777351276
997	2.775088575
998	2.773633184
999	2.772839086
